The container contains 10000 shapes:
Parallelepiped: a = 18  b = 15  c = 2, Volume = 540.0, Density = 11
Parallelepiped: a = 12  b = 4  c = 20, Volume = 960.0, Density = 8
Sphere: x = 18, Volume = 4374.0, Density = 18
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 18
Sphere: x = 1, Volume = 0.75, Density = 4
Parallelepiped: a = 13  b = 13  c = 13, Volume = 2197.0, Density = 18
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Parallelepiped: a = 17  b = 19  c = 13, Volume = 4199.0, Density = 3
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 21
Sphere: x = 8, Volume = 384.0, Density = 20
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 24
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 19
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 14
Parallelepiped: a = 14  b = 17  c = 7, Volume = 1666.0, Density = 19
Parallelepiped: a = 23  b = 4  c = 5, Volume = 460.0, Density = 7
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 22
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 18
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 15
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 10
Parallelepiped: a = 5  b = 3  c = 5, Volume = 75.0, Density = 11
Sphere: x = 19, Volume = 5144.25, Density = 11
Sphere: x = 15, Volume = 2531.25, Density = 22
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 16
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 24
Sphere: x = 0, Volume = 0.0, Density = 24
Sphere: x = 24, Volume = 10368.0, Density = 2
Sphere: x = 18, Volume = 4374.0, Density = 0
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Sphere: x = 8, Volume = 384.0, Density = 5
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 10
Parallelepiped: a = 9  b = 21  c = 24, Volume = 4536.0, Density = 6
Sphere: x = 18, Volume = 4374.0, Density = 13
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 20
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 9
Parallelepiped: a = 11  b = 17  c = 1, Volume = 187.0, Density = 9
Parallelepiped: a = 18  b = 4  c = 6, Volume = 432.0, Density = 20
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 12
Parallelepiped: a = 10  b = 11  c = 9, Volume = 990.0, Density = 9
Sphere: x = 6, Volume = 162.0, Density = 12
Sphere: x = 22, Volume = 7986.0, Density = 13
Parallelepiped: a = 21  b = 24  c = 19, Volume = 9576.0, Density = 5
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 14
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 17
Sphere: x = 0, Volume = 0.0, Density = 2
Sphere: x = 20, Volume = 6000.0, Density = 8
Parallelepiped: a = 6  b = 21  c = 19, Volume = 2394.0, Density = 22
Sphere: x = 17, Volume = 3684.75, Density = 9
Sphere: x = 0, Volume = 0.0, Density = 22
Parallelepiped: a = 15  b = 24  c = 22, Volume = 7920.0, Density = 10
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 23
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 15
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 9
Sphere: x = 7, Volume = 257.25, Density = 11
Parallelepiped: a = 19  b = 4  c = 4, Volume = 304.0, Density = 19
Sphere: x = 0, Volume = 0.0, Density = 1
Parallelepiped: a = 9  b = 4  c = 17, Volume = 612.0, Density = 10
Parallelepiped: a = 4  b = 17  c = 21, Volume = 1428.0, Density = 5
Parallelepiped: a = 9  b = 1  c = 4, Volume = 36.0, Density = 11
Parallelepiped: a = 9  b = 6  c = 2, Volume = 108.0, Density = 2
Parallelepiped: a = 14  b = 3  c = 18, Volume = 756.0, Density = 17
Parallelepiped: a = 11  b = 23  c = 8, Volume = 2024.0, Density = 8
Sphere: x = 23, Volume = 9125.25, Density = 3
Sphere: x = 8, Volume = 384.0, Density = 8
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 15
Parallelepiped: a = 0  b = 4  c = 18, Volume = 0.0, Density = 21
Sphere: x = 22, Volume = 7986.0, Density = 13
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 15
Parallelepiped: a = 17  b = 3  c = 22, Volume = 1122.0, Density = 13
Sphere: x = 2, Volume = 6.0, Density = 0
Parallelepiped: a = 4  b = 7  c = 13, Volume = 364.0, Density = 0
Parallelepiped: a = 10  b = 21  c = 14, Volume = 2940.0, Density = 10
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 23
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 19
Parallelepiped: a = 3  b = 2  c = 14, Volume = 84.0, Density = 18
Sphere: x = 6, Volume = 162.0, Density = 0
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 13
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 10
Parallelepiped: a = 4  b = 2  c = 15, Volume = 120.0, Density = 17
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 24
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 4
Parallelepiped: a = 21  b = 13  c = 0, Volume = 0.0, Density = 2
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 14
Parallelepiped: a = 19  b = 18  c = 20, Volume = 6840.0, Density = 17
Sphere: x = 7, Volume = 257.25, Density = 15
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 16
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 7
Sphere: x = 17, Volume = 3684.75, Density = 10
Sphere: x = 6, Volume = 162.0, Density = 11
Sphere: x = 0, Volume = 0.0, Density = 15
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 17
Sphere: x = 1, Volume = 0.75, Density = 15
Parallelepiped: a = 5  b = 18  c = 14, Volume = 1260.0, Density = 7
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 12
Parallelepiped: a = 16  b = 19  c = 1, Volume = 304.0, Density = 21
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 3
Sphere: x = 22, Volume = 7986.0, Density = 15
Parallelepiped: a = 18  b = 6  c = 5, Volume = 540.0, Density = 1
Parallelepiped: a = 14  b = 11  c = 12, Volume = 1848.0, Density = 2
Parallelepiped: a = 4  b = 12  c = 15, Volume = 720.0, Density = 12
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 19
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 5
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 8
Parallelepiped: a = 9  b = 20  c = 16, Volume = 2880.0, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 17
Parallelepiped: a = 9  b = 5  c = 12, Volume = 540.0, Density = 24
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 18
Sphere: x = 8, Volume = 384.0, Density = 23
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 12
Parallelepiped: a = 14  b = 7  c = 3, Volume = 294.0, Density = 7
Sphere: x = 0, Volume = 0.0, Density = 4
Parallelepiped: a = 13  b = 0  c = 13, Volume = 0.0, Density = 18
Sphere: x = 7, Volume = 257.25, Density = 8
Parallelepiped: a = 24  b = 20  c = 8, Volume = 3840.0, Density = 18
Parallelepiped: a = 22  b = 13  c = 19, Volume = 5434.0, Density = 14
Parallelepiped: a = 12  b = 6  c = 22, Volume = 1584.0, Density = 23
Sphere: x = 17, Volume = 3684.75, Density = 15
Parallelepiped: a = 7  b = 21  c = 15, Volume = 2205.0, Density = 7
Parallelepiped: a = 6  b = 1  c = 22, Volume = 132.0, Density = 16
Parallelepiped: a = 5  b = 4  c = 15, Volume = 300.0, Density = 12
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 0
Parallelepiped: a = 14  b = 6  c = 2, Volume = 168.0, Density = 16
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 4
Parallelepiped: a = 12  b = 20  c = 21, Volume = 5040.0, Density = 18
Parallelepiped: a = 11  b = 10  c = 2, Volume = 220.0, Density = 4
Sphere: x = 8, Volume = 384.0, Density = 1
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 9
Parallelepiped: a = 0  b = 2  c = 11, Volume = 0.0, Density = 24
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 10
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 13
Tetrahedron: a = 5, Volume = 14.73139127471974, Density = 11
Tetrahedron: a = 0, Volume = 0.0, Density = 16
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 14
Parallelepiped: a = 7  b = 5  c = 18, Volume = 630.0, Density = 18
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 7
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 18
Parallelepiped: a = 18  b = 3  c = 11, Volume = 594.0, Density = 18
Sphere: x = 13, Volume = 1647.75, Density = 14
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 2
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 13
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 7
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 21
Parallelepiped: a = 23  b = 18  c = 3, Volume = 1242.0, Density = 16
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 0
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 18
Sphere: x = 5, Volume = 93.75, Density = 13
Parallelepiped: a = 21  b = 4  c = 5, Volume = 420.0, Density = 8
Sphere: x = 10, Volume = 750.0, Density = 8
Parallelepiped: a = 5  b = 1  c = 4, Volume = 20.0, Density = 23
Parallelepiped: a = 6  b = 10  c = 3, Volume = 180.0, Density = 18
Sphere: x = 24, Volume = 10368.0, Density = 14
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 17
Parallelepiped: a = 15  b = 6  c = 21, Volume = 1890.0, Density = 2
Sphere: x = 5, Volume = 93.75, Density = 11
Sphere: x = 11, Volume = 998.25, Density = 18
Sphere: x = 21, Volume = 6945.75, Density = 7
Parallelepiped: a = 22  b = 9  c = 20, Volume = 3960.0, Density = 21
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 9
Sphere: x = 23, Volume = 9125.25, Density = 22
Parallelepiped: a = 5  b = 0  c = 22, Volume = 0.0, Density = 13
Parallelepiped: a = 22  b = 22  c = 9, Volume = 4356.0, Density = 14
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 7
Sphere: x = 4, Volume = 48.0, Density = 4
Sphere: x = 11, Volume = 998.25, Density = 23
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 3
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 12
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 23
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 22
Sphere: x = 21, Volume = 6945.75, Density = 10
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 15
Parallelepiped: a = 1  b = 18  c = 19, Volume = 342.0, Density = 1
Parallelepiped: a = 9  b = 7  c = 8, Volume = 504.0, Density = 3
Sphere: x = 22, Volume = 7986.0, Density = 6
Sphere: x = 8, Volume = 384.0, Density = 9
Sphere: x = 16, Volume = 3072.0, Density = 23
Sphere: x = 15, Volume = 2531.25, Density = 23
Sphere: x = 14, Volume = 2058.0, Density = 21
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 6
Parallelepiped: a = 0  b = 14  c = 9, Volume = 0.0, Density = 24
Parallelepiped: a = 14  b = 6  c = 3, Volume = 252.0, Density = 9
Sphere: x = 1, Volume = 0.75, Density = 14
Parallelepiped: a = 6  b = 12  c = 23, Volume = 1656.0, Density = 22
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 22
Sphere: x = 4, Volume = 48.0, Density = 0
Tetrahedron: a = 0, Volume = 0.0, Density = 4
Sphere: x = 7, Volume = 257.25, Density = 13
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 6
Sphere: x = 8, Volume = 384.0, Density = 20
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 6
Tetrahedron: a = 0, Volume = 0.0, Density = 21
Parallelepiped: a = 22  b = 1  c = 17, Volume = 374.0, Density = 22
Parallelepiped: a = 15  b = 6  c = 6, Volume = 540.0, Density = 9
Parallelepiped: a = 12  b = 24  c = 20, Volume = 5760.0, Density = 8
Parallelepiped: a = 2  b = 4  c = 1, Volume = 8.0, Density = 8
Parallelepiped: a = 21  b = 7  c = 7, Volume = 1029.0, Density = 12
Sphere: x = 10, Volume = 750.0, Density = 13
Sphere: x = 10, Volume = 750.0, Density = 11
Parallelepiped: a = 8  b = 15  c = 5, Volume = 600.0, Density = 10
Sphere: x = 16, Volume = 3072.0, Density = 1
Parallelepiped: a = 14  b = 3  c = 0, Volume = 0.0, Density = 17
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 15
Sphere: x = 18, Volume = 4374.0, Density = 18
Tetrahedron: a = 7, Volume = 40.42293765783097, Density = 3
Sphere: x = 5, Volume = 93.75, Density = 10
Parallelepiped: a = 12  b = 20  c = 15, Volume = 3600.0, Density = 0
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 8
Sphere: x = 7, Volume = 257.25, Density = 0
Sphere: x = 1, Volume = 0.75, Density = 2
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 21
Sphere: x = 3, Volume = 20.25, Density = 10
Sphere: x = 13, Volume = 1647.75, Density = 23
Parallelepiped: a = 1  b = 15  c = 2, Volume = 30.0, Density = 18
Parallelepiped: a = 2  b = 12  c = 6, Volume = 144.0, Density = 2
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 7
Parallelepiped: a = 18  b = 10  c = 16, Volume = 2880.0, Density = 17
Tetrahedron: a = 20, Volume = 942.8090415820634, Density = 9
Sphere: x = 16, Volume = 3072.0, Density = 5
Parallelepiped: a = 18  b = 8  c = 3, Volume = 432.0, Density = 4
Parallelepiped: a = 24  b = 22  c = 5, Volume = 2640.0, Density = 22
Parallelepiped: a = 8  b = 22  c = 0, Volume = 0.0, Density = 0
Parallelepiped: a = 18  b = 21  c = 7, Volume = 2646.0, Density = 2
Parallelepiped: a = 9  b = 21  c = 9, Volume = 1701.0, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 7
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 12
Parallelepiped: a = 12  b = 0  c = 2, Volume = 0.0, Density = 16
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 24
Sphere: x = 15, Volume = 2531.25, Density = 23
Sphere: x = 14, Volume = 2058.0, Density = 1
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 13
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 12
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 12
Parallelepiped: a = 15  b = 2  c = 20, Volume = 600.0, Density = 16
Parallelepiped: a = 8  b = 11  c = 17, Volume = 1496.0, Density = 19
Parallelepiped: a = 13  b = 6  c = 0, Volume = 0.0, Density = 12
Sphere: x = 14, Volume = 2058.0, Density = 14
Parallelepiped: a = 4  b = 0  c = 4, Volume = 0.0, Density = 4
Parallelepiped: a = 11  b = 19  c = 13, Volume = 2717.0, Density = 12
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 6
Sphere: x = 14, Volume = 2058.0, Density = 24
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 14
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 8
Parallelepiped: a = 18  b = 21  c = 2, Volume = 756.0, Density = 10
Sphere: x = 9, Volume = 546.75, Density = 14
Parallelepiped: a = 23  b = 10  c = 14, Volume = 3220.0, Density = 23
Sphere: x = 13, Volume = 1647.75, Density = 2
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 23
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 5
Parallelepiped: a = 23  b = 8  c = 10, Volume = 1840.0, Density = 6
Parallelepiped: a = 15  b = 2  c = 8, Volume = 240.0, Density = 21
Sphere: x = 11, Volume = 998.25, Density = 6
Tetrahedron: a = 0, Volume = 0.0, Density = 23
Tetrahedron: a = 0, Volume = 0.0, Density = 4
Parallelepiped: a = 19  b = 9  c = 24, Volume = 4104.0, Density = 17
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 19
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 1
Parallelepiped: a = 4  b = 18  c = 8, Volume = 576.0, Density = 19
Parallelepiped: a = 11  b = 16  c = 0, Volume = 0.0, Density = 6
Tetrahedron: a = 17, Volume = 579.0026026615848, Density = 12
Tetrahedron: a = 18, Volume = 687.3077913133243, Density = 2
Parallelepiped: a = 18  b = 7  c = 24, Volume = 3024.0, Density = 2
Sphere: x = 2, Volume = 6.0, Density = 8
Parallelepiped: a = 12  b = 7  c = 23, Volume = 1932.0, Density = 22
Sphere: x = 22, Volume = 7986.0, Density = 8
Sphere: x = 16, Volume = 3072.0, Density = 18
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 1
Sphere: x = 10, Volume = 750.0, Density = 18
Sphere: x = 5, Volume = 93.75, Density = 5
Sphere: x = 23, Volume = 9125.25, Density = 9
Parallelepiped: a = 5  b = 19  c = 24, Volume = 2280.0, Density = 12
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 2
Parallelepiped: a = 15  b = 14  c = 8, Volume = 1680.0, Density = 1
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 23
Parallelepiped: a = 20  b = 10  c = 6, Volume = 1200.0, Density = 18
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 15
Parallelepiped: a = 17  b = 21  c = 20, Volume = 7140.0, Density = 13
Sphere: x = 5, Volume = 93.75, Density = 21
Sphere: x = 24, Volume = 10368.0, Density = 20
Parallelepiped: a = 19  b = 11  c = 4, Volume = 836.0, Density = 13
Sphere: x = 10, Volume = 750.0, Density = 19
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 5
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 12
Tetrahedron: a = 24, Volume = 1629.1740238538057, Density = 24
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 14
Sphere: x = 11, Volume = 998.25, Density = 5
Parallelepiped: a = 6  b = 11  c = 15, Volume = 990.0, Density = 24
Sphere: x = 8, Volume = 384.0, Density = 9
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 22
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 18
Parallelepiped: a = 14  b = 24  c = 19, Volume = 6384.0, Density = 4
Sphere: x = 18, Volume = 4374.0, Density = 13
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 12
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 4
Sphere: x = 19, Volume = 5144.25, Density = 9
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 10
Sphere: x = 0, Volume = 0.0, Density = 19
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 2
Sphere: x = 10, Volume = 750.0, Density = 14
Tetrahedron: a = 4, Volume = 7.542472332656508, Density = 10
Parallelepiped: a = 16  b = 3  c = 4, Volume = 192.0, Density = 7
Sphere: x = 22, Volume = 7986.0, Density = 21
Parallelepiped: a = 3  b = 11  c = 4, Volume = 132.0, Density = 18
Tetrahedron: a = 0, Volume = 0.0, Density = 22
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 7
Sphere: x = 14, Volume = 2058.0, Density = 1
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 3
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 19
Sphere: x = 17, Volume = 3684.75, Density = 7
Parallelepiped: a = 5  b = 20  c = 21, Volume = 2100.0, Density = 14
Sphere: x = 4, Volume = 48.0, Density = 19
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 12
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 17
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 17
Tetrahedron: a = 8, Volume = 60.33977866125206, Density = 6
Parallelepiped: a = 21  b = 22  c = 20, Volume = 9240.0, Density = 20
Tetrahedron: a = 9, Volume = 85.91347391416554, Density = 19
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 1
Tetrahedron: a = 0, Volume = 0.0, Density = 15
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 22
Sphere: x = 16, Volume = 3072.0, Density = 2
Sphere: x = 0, Volume = 0.0, Density = 12
Parallelepiped: a = 11  b = 13  c = 8, Volume = 1144.0, Density = 24
Sphere: x = 19, Volume = 5144.25, Density = 20
Parallelepiped: a = 14  b = 17  c = 16, Volume = 3808.0, Density = 15
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 13
Tetrahedron: a = 2, Volume = 0.9428090415820635, Density = 14
Tetrahedron: a = 3, Volume = 3.1819805153394642, Density = 6
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 4
Tetrahedron: a = 13, Volume = 258.91893304447416, Density = 8
Sphere: x = 15, Volume = 2531.25, Density = 20
Parallelepiped: a = 8  b = 9  c = 1, Volume = 72.0, Density = 22
Parallelepiped: a = 22  b = 20  c = 2, Volume = 880.0, Density = 6
Sphere: x = 11, Volume = 998.25, Density = 14
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 3
Tetrahedron: a = 16, Volume = 482.7182292900165, Density = 17
Tetrahedron: a = 19, Volume = 808.3409020264216, Density = 24
Parallelepiped: a = 13  b = 19  c = 17, Volume = 4199.0, Density = 5
Sphere: x = 10, Volume = 750.0, Density = 19
Parallelepiped: a = 4  b = 1  c = 7, Volume = 28.0, Density = 17
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 3
Sphere: x = 7, Volume = 257.25, Density = 23
Sphere: x = 20, Volume = 6000.0, Density = 12
Sphere: x = 9, Volume = 546.75, Density = 15
Tetrahedron: a = 0, Volume = 0.0, Density = 8
Tetrahedron: a = 21, Volume = 1091.4193167614362, Density = 9
Parallelepiped: a = 4  b = 10  c = 13, Volume = 520.0, Density = 14
Tetrahedron: a = 14, Volume = 323.38350126264777, Density = 6
Sphere: x = 24, Volume = 10368.0, Density = 1
Sphere: x = 14, Volume = 2058.0, Density = 5
Parallelepiped: a = 0  b = 2  c = 11, Volume = 0.0, Density = 15
Sphere: x = 22, Volume = 7986.0, Density = 16
Parallelepiped: a = 19  b = 11  c = 6, Volume = 1254.0, Density = 9
Parallelepiped: a = 19  b = 2  c = 3, Volume = 114.0, Density = 3
Tetrahedron: a = 6, Volume = 25.455844122715714, Density = 18
Parallelepiped: a = 18  b = 14  c = 12, Volume = 3024.0, Density = 18
Parallelepiped: a = 5  b = 20  c = 19, Volume = 1900.0, Density = 13
Parallelepiped: a = 13  b = 2  c = 18, Volume = 468.0, Density = 11
Sphere: x = 10, Volume = 750.0, Density = 20
Parallelepiped: a = 23  b = 16  c = 17, Volume = 6256.0, Density = 4
Sphere: x = 3, Volume = 20.25, Density = 22
Parallelepiped: a = 22  b = 23  c = 22, Volume = 11132.0, Density = 16
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 16
Sphere: x = 2, Volume = 6.0, Density = 9
Tetrahedron: a = 22, Volume = 1254.8788343457265, Density = 3
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 3
Tetrahedron: a = 23, Volume = 1433.8947011161208, Density = 7
Tetrahedron: a = 11, Volume = 156.85985429321582, Density = 4
Parallelepiped: a = 9  b = 0  c = 3, Volume = 0.0, Density = 9
Sphere: x = 13, Volume = 1647.75, Density = 22
Tetrahedron: a = 10, Volume = 117.85113019775793, Density = 15
Sphere: x = 10, Volume = 750.0, Density = 14
Sphere: x = 22, Volume = 7986.0, Density = 0
Parallelepiped: a = 4  b = 13  c = 24, Volume = 1248.0, Density = 4
Sphere: x = 14, Volume = 2058.0, Density = 16
Tetrahedron: a = 15, Volume = 397.747564417433, Density = 0
Tetrahedron: a = 1, Volume = 0.11785113019775793, Density = 5
Sphere: x = 4, Volume = 48.0, Density = 16
Parallelepiped: a = 15  b = 16  c = 9, Volume = 2160.0, Density = 2
Sphere: x = 3, Volume = 20.25, Density = 8
Sphere: x = 13, Volume = 1647.75, Density = 22
Tetrahedron: a = 12, Volume = 203.6467529817257, Density = 0
Parallelepiped: a = 8  b = 0  c = 13, Volume = 0.0, Density = 4
Sphere: x = 0, Volume = 0.0, Density = 16
